Image,Date,Place,PM 2.5,PM 10,Blue,Gradient,Transmisiion,im contrast,roi contrast,entropy,Humidity,hsv,Time,log,Weather
398.jpg,19.5.18,Maya Enclave,126.26,277.65,0.952489008,0,0.009997463,0.001023678,0.654364247,6.905423277,26,18.76326645,10:06 AM,-4.605423918,widespread dust
399.jpg,19.5.18,Maya Enclave,100.1,396.06,0.873512175,4.425487605,0.009975966,0.000748791,0.351922363,7.41233846,18,36.06773733,03:31 PM,-4.607576479,widespread dust
401.jpg,19.5.18,Maya Enclave,81.65,213.8,0.94708623,0,0.009959044,0.001095486,3.174952613,7.425716761,24,32.47147797,05:37 PM,-4.609274196,widespread dust
402.jpg,20.5.18,Maya Enclave,88.09,273.58,0.999278373,0,0.009944919,0.000974764,4.098532424,6.15716691,21,1.6449197,10:15 AM,-4.610693512,haze
433.jpg,20.5.18,Maya Enclave,73.05,252.75,0.940902196,0,0.009935496,0.000925919,0.550240721,7.275569709,15,92.13335202,02:08 PM,-4.61164148,widespread dust
434.jpg,20.5.18,Maya Enclave,56.88,166.6,0.997744445,0,0.009836358,0.00118904,0.220254866,6.445517813,13,7.993458555,06:27 PM,-4.621669758,haze
435.jpg,21.5.18,Maya Enclave,85.93,175.33,0.977384768,0,0.009932073,0.001110059,10.3313152,6.741805439,12,53.81549121,09:52 AM,-4.611986061,haze
436.jpg,21.5.18,Maya Enclave,33.82,91.68,0.967663432,0,0.009881754,0.001082438,0.89037111,7.014922621,10,103.3518897,01:41 PM,-4.617065253,haze
437.jpg,21.5.18,maya Enclave,24.49,95.33,0.976447501,0,0.009967355,0.001085252,5.624723063,7.151996915,12,67.54362076,06:02 PM,-4.608440026,haze
438.jpg,22.5.18,maya Enclave,90.32,214.67,0.951875855,0,0.009951274,0.001124432,8.06068849,6.733899557,18,34.56603522,07:34 AM,-4.610054696,haze
439.jpg,22.5.18,maya Enclave,109.68,244.73,0.916074128,1.361688494,0.009769524,0.000834766,17.6382424,6.965623933,11,104.9666386,02:26 PM,-4.628487535,widespread dust
